Trigram,Frekuensi
"('menang', 'lawan', 'irak')",6
"('lolos', 'piala', 'dunia')",5
"('piala', 'dunia', 'aamiin')",4
"('patrick', 'kluivert', 'out')",3
"('di', 'piala', 'dunia')",3
"('ke', 'piala', 'dunia')",3
"('semoga', 'timnas', 'dapat')",3
"('timnas', 'dapat', 'poinbrtuhan')",3
"('dapat', 'poinbrtuhan', 'memberkati')",3
"('semoga', 'allah', 'swt')",2
"('allah', 'swt', 'memberikan')",2
"('indonesia', 'lolos', 'piala')",2
"('pernah', 'menang', 'lawan')",2
"('lawan', 'irak', 'sampai')",2
"('dari', 'arab', 'saudi')",2
"('semoga', 'indonesia', 'bisa')",2
"('tembus', 'piala', 'dunia')",2
"('kami', 'tetap', 'bangga')",2
"('pulang', 'marilah', 'pulang')",2
"('jangan', 'di', 'mainin')",2
